Mouse,Date,k,TDA Score
CB303,062022,4,0.4814814814814815
CB303,062022,5,0.4814814814814815
CB303,062022,6,0.5240740740740739
CB303,062022,7,0.5055555555555555
CB303,062022,8,0.5240740740740741
CB303,062022,9,0.4962962962962963
CB303,062022,10,0.5055555555555555
CB303,061522,1,0.624074074074074
CB303,061522,2,0.6333333333333333
CB303,061522,3,0.5944444444444443
CB303,061522,4,0.6055555555555555
CB303,061522,5,0.6111111111111113
CB303,061522,6,0.575925925925926
CB303,061522,7,0.5981481481481481
CB303,061522,8,0.5740740740740742
CB303,061522,9,0.575925925925926
CB303,061522,10,0.5814814814814815
CB317,110822,1,0.5703703703703704
CB317,110822,2,0.6055555555555555
CB317,110822,3,0.6611111111111112
CB317,110822,4,0.675925925925926
CB317,110822,5,0.701851851851852
CB317,110822,6,0.6703703703703704
CB317,110822,7,0.6944444444444444
CB317,110822,8,0.6833333333333333
CB317,110822,9,0.687037037037037
CB317,110822,10,0.6666666666666667
CB317,111022,1,0.5555555555555554
CB317,111022,2,0.5314814814814814
CB317,111022,3,0.537037037037037
CB317,111022,4,0.5722222222222222
CB317,111022,5,0.5777777777777778
CB317,111022,6,0.5703703703703703
CB317,111022,7,0.5907407407407407
CB317,111022,8,0.587037037037037
CB317,111022,9,0.5981481481481481
CB317,111022,10,0.6018518518518517
